smiles	idnumber
CC(C#N)CN(c1ncnc2c1ncn2CC1(O)CCOC1)C1CC1	Z2760959604
CC(O)CN1CCN(c2ncnc3c2ncn3CC2(O)CCOC2)CC1C	Z2760946703
OCCN(CC1CCCCC1)c1ncnc2c1ncn2CC1(O)CCOC1	Z2760963608
O=C(NC1CC1)C1CCCN1c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760938911
OCC(Cn1cnc2c(N3C4CCC3C(CO)C4)ncnc21)C1CCOC1	Z2760974085
CN(CC(O)CN1CCOCC1)c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760952650
CCC1CN(c2ncnc3c2ncn3CC(O)C2CCCO2)CC2(CCOC2)O1	Z2760967672
CCC1COC(C)(C)CN1c1ncnc2c1ncn2CC1(O)CCOCC1	Z2760977069
CCN(c1ncnc2c1ncn2C1CC(CO)(CO)C1)C1CCNC1=O	Z2760965791
CCC1CCC(C)N1c1ncnc2c1ncn2CC(O)C1CCCO1	Z2760959029
CC(=O)NC1CCC(N(C)c2ncnc3c2ncn3C2CC(CO)(CO)C2)CC1	Z2760961535
CCOC1CC(N(C)c2ncnc3c2ncn3CC2(O)CCOC2C)C1(C)C	Z2760949293
O=C(NC1CC1)C1CCCN1c1ncnc2c1ncn2CC(O)C1CCCO1	Z2760938912
CC1OCCC1(O)Cn1cnc2c(N3CCOC(COCC4CC4)C3)ncnc21	Z2760963793
CCOCC1CCCCN1c1ncnc2c1ncn2CC1(CO)COC1	Z2760974986
COC(C)(C)CN(C)c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760955377
CC1CN(c2ncnc3c2ncn3CC2(O)CCOCC2)CC(C2CC2)O1	Z2760967636
OC1CCCC1C1COCCN1c1ncnc2c1ncn2CC1(O)CCOC1	Z2760969804
COC[C@@H]1C[C@@H](OC)CN1c1ncnc2c1ncn2C1CC(CO)(CO)C1	Z2760968821
CC(C)N1CCC(N(C)c2ncnc3c2ncn3CC2(O)CCOCC2)C1	Z2760975177
CCN1CCC(N(C)c2ncnc3c2ncn3CC2(O)CCOC2)C(C)C1	Z2760948963
CN1CCC2OCCN(c3ncnc4c3ncn4CC3(O)CCOCC3)C2C1	Z2760968928
O=C1CN(c2ncnc3c2ncn3C2CC(CO)(CO)C2)C2CCCCC2N1	Z2760955364
CCOCCO[C@H]1CCN(c2ncnc3c2ncn3CC(O)C2CCCO2)C1	Z2760958053
OCC1(Cn2cnc3c(N4CCCC4C4COCCC4O)ncnc32)CCOCC1	Z2760966596
CC(C)CN1CCN(c2ncnc3c2ncn3CC2(CO)CCOCC2)C(C)C1=O	Z2760964372
CCN1CCC(N(C)c2ncnc3c2ncn3CC(CO)C2CCOC2)CC1C	Z2760949448
CN1C(=O)N[C@@H]2CN(c3ncnc4c3ncn4CC3(CO)CCOCC3)CC[C@@H]21	Z2760974143
OCC1(Cn2cnc3c(N4CC5CC5(C(F)(F)F)C4)ncnc32)CCOCC1	Z2760970274
CCC(=O)NC1CCCN(c2ncnc3c2ncn3CC2(O)CCOC2C)C1	Z2760943001
CCNC(=O)CN(CC)c1ncnc2c1ncn2CC1(O)CCOCC1	Z2760939441
O=C1CN(c2ncnc3c2ncn3CC(CO)C2CCOC2)CN1CC(F)(F)F	Z2760968725
OC[C@@H]1C[C@H](F)CN1c1ncnc2c1ncn2CC1(O)CCOC1	Z2760969696
CCC1CN(c2ncnc3c2ncn3CC2(O)CCOCC2)CCN1CCOC	Z2760947086
CNC(=O)C1CCCN1c1ncnc2c1ncn2CC1(O)CCOCC1	Z2760947618
OCCOC1CCCN(c2ncnc3c2ncn3CC(CO)C2CCOC2)C1	Z2760962451
CNC(=O)CC1(O)CCCN(c2ncnc3c2ncn3CC2(CO)COC2)C1	Z2760975982
CNC(=O)C1(C)CCN(c2ncnc3c2ncn3CC(O)C2CCCO2)C1	Z2760966608
CO[C@H]1C[C@@H](C(N)=O)N(c2ncnc3c2ncn3CC(O)C2CCCO2)C1	Z2760968885
OC1(Cn2cnc3c(N4CCN(CC5CCOC5)CC4)ncnc32)CCOCC1	Z2760940404
OC1(Cn2cnc3c(N4CCC5(O)CCCCC5C4)ncnc32)CCOCC1	Z2760953312
CC1OCCC1(O)Cn1cnc2c(N3CCOC4(CCOC4)C3)ncnc21	Z2760964377
CC1OCCC1(O)Cn1cnc2c(N3CC[C@@H]4OCC(=O)N[C@H]4C3)ncnc21	Z2760974342
CC1OCCC1(O)Cn1cnc2c(N(C)CC3CCS(=O)(=O)C3)ncnc21	Z2760948318
COCCN1CCN(c2ncnc3c2ncn3CC2(CO)COC2)CC1=O	Z2760956722
